date,totalconfirmed,totaldeceased,totalrecovered,dailyconfirmed,dailydeceased,dailyrecovered
30-Jan,1,0,0,1,0,0
31-Jan,1,0,0,0,0,0
01-Feb,1,0,0,0,0,0
02-Feb,2,0,0,1,0,0
03-Feb,3,0,0,1,0,0
04-Feb,3,0,0,0,0,0
05-Feb,3,0,0,0,0,0
06-Feb,3,0,0,0,0,0
07-Feb,3,0,0,0,0,0
08-Feb,3,0,0,0,0,0
09-Feb,3,0,0,0,0,0
10-Feb,3,0,0,0,0,0
11-Feb,3,0,0,0,0,0
12-Feb,3,0,0,0,0,0
13-Feb,3,0,1,0,0,1
14-Feb,3,0,1,0,0,0
15-Feb,3,0,1,0,0,0
16-Feb,3,0,2,0,0,1
17-Feb,3,0,2,0,0,0
18-Feb,3,0,2,0,0,0
19-Feb,3,0,2,0,0,0
20-Feb,3,0,3,0,0,1
21-Feb,3,0,3,0,0,0
22-Feb,3,0,3,0,0,0
23-Feb,3,0,3,0,0,0
24-Feb,3,0,3,0,0,0
25-Feb,3,0,3,0,0,0
26-Feb,3,0,3,0,0,0
27-Feb,3,0,3,0,0,0
28-Feb,3,0,3,0,0,0
29-Feb,3,0,3,0,0,0
01-Mar,3,0,3,0,0,0
02-Mar,5,0,3,2,0,0
03-Mar,6,0,3,1,0,0
04-Mar,28,0,3,22,0,0
05-Mar,30,0,3,2,0,0
06-Mar,31,0,3,1,0,0
07-Mar,34,0,3,3,0,0
08-Mar,39,0,3,5,0,0
09-Mar,48,0,3,9,0,0
10-Mar,63,0,4,15,0,1
11-Mar,71,0,4,8,0,0
12-Mar,81,1,4,10,1,0
13-Mar,91,1,10,10,0,6
14-Mar,102,2,10,11,1,0
15-Mar,112,2,13,10,0,3
16-Mar,126,2,14,14,0,1
17-Mar,146,3,15,20,1,1
18-Mar,171,3,15,25,0,0
19-Mar,198,4,20,27,1,5
20-Mar,256,4,23,58,0,3
21-Mar,334,4,23,78,0,0
22-Mar,403,7,23,69,3,0
23-Mar,497,9,25,94,2,2
24-Mar,571,10,40,74,1,15
25-Mar,657,11,43,86,1,3
26-Mar,730,16,50,73,5,7
27-Mar,883,19,75,153,3,25
28-Mar,1019,24,85,136,5,10
29-Mar,1139,27,102,120,3,17
30-Mar,1326,41,137,187,14,35
31-Mar,1635,47,150,309,6,13
01-Apr,2059,53,169,424,6,19
02-Apr,2545,69,191,486,16,22
03-Apr,3105,83,230,560,14,39
04-Apr,3684,96,286,579,13,56
05-Apr,4293,118,329,609,22,43
06-Apr,4777,134,394,484,16,65
07-Apr,5350,161,469,573,27,75
08-Apr,5915,181,565,565,20,96
09-Apr,6728,227,635,813,46,70
10-Apr,7599,249,786,871,22,151
11-Apr,8453,290,972,854,41,186
12-Apr,9211,332,1086,758,42,114
13-Apr,10454,359,1198,1243,27,112
14-Apr,11485,396,1365,1031,37,167
15-Apr,12371,423,1509,886,27,144
16-Apr,13432,449,1767,1061,26,258
17-Apr,14354,487,2040,922,38,273
18-Apr,15725,522,2466,1371,35,426
19-Apr,17305,560,2854,1580,38,388
20-Apr,18544,593,3273,1239,33,419
21-Apr,20081,646,3976,1537,53,703
22-Apr,21373,682,4370,1292,36,394
23-Apr,23040,722,5012,1667,40,642
24-Apr,24448,781,5496,1408,59,484
25-Apr,26283,825,5938,1835,44,442
26-Apr,27890,881,6523,1607,56,585
27-Apr,29458,939,7103,1568,58,580
28-Apr,31360,1008,7739,1902,69,636
29-Apr,33065,1079,8429,1705,71,690
30-Apr,34866,1154,9059,1801,75,630
01-May,37262,1231,10021,2396,77,962
02-May,39826,1323,10852,2564,92,831
03-May,42778,1463,11763,2952,140,911
04-May,46434,1566,12845,3656,103,1082
05-May,49405,1694,14140,2971,128,1295
06-May,53007,1785,15301,3602,91,1161
07-May,56351,1889,16776,3344,104,1475
08-May,59690,1986,17887,3339,97,1111
09-May,62865,2101,19301,3175,115,1414
10-May,67176,2213,20970,4311,112,1669
11-May,70768,2294,22549,3592,81,1579
12-May,74330,2414,24454,3562,120,1905
13-May,78056,2551,26417,3726,137,1963
14-May,82047,2648,28011,3991,97,1594
15-May,85855,2752,30245,3808,104,2234
16-May,90648,2870,34224,4793,118,3979
